ACO Solutions,Random Search Solutions,ACO Times,Random Search Times
9,3,21.169402599334717,0.9524779319763184
5,3,17.937494039535522,1.225569248199463
8,2,19.736790418624878,1.0088720321655273
8,6,21.77738881111145,1.074444055557251
9,4,22.56553030014038,1.157609462738037
9,4,21.75220775604248,0.9662120342254639
4,6,17.137019157409668,0.9877338409423828
8,7,25.102224349975586,1.1827645301818848
8,4,21.179832458496094,1.0146191120147705
9,2,20.090112686157227,1.0337560176849365
9,4,23.407355308532715,1.0414128303527832
10,2,22.818521976470947,1.3164494037628174
8,7,21.064197778701782,1.1903936862945557
8,5,25.400705337524414,1.3582942485809326
5,2,18.13840126991272,1.200821876525879
6,3,24.58444881439209,1.235701560974121
7,4,25.263090133666992,1.2361807823181152
7,4,17.267199516296387,1.2336175441741943
7,3,28.24004101753235,1.3643524646759033
4,3,23.481563091278076,1.3225443363189697
8,3,26.76049256324768,1.2598137855529785
10,3,26.547849655151367,1.1603975296020508
10,1,32.76196503639221,1.2142612934112549
8,5,32.18737435340881,1.3504281044006348
8,3,26.977455854415894,1.3150603771209717
7,5,22.425721168518066,1.342604160308838
7,1,23.534987926483154,1.1054620742797852
11,3,23.195807933807373,1.0060813426971436
9,5,22.66015362739563,1.2975924015045166
9,2,28.575246572494507,1.3254766464233398
